ym,mmAAAA,montant_charge_brut_sum
2018-03,032018,
2018-04,042018,
2018-05,052018,
2018-06,062018,
2018-07,072018,364793.6
2018-08,082018,282612.14
2018-09,092018,223371.76009999972
2018-10,102018,122960.88
2018-11,112018,
2018-12,122018,
2019-01,012019,
2019-02,022019,
2019-03,032019,
2019-04,042019,
2019-05,052019,
2019-06,062019,
2019-07,072019,
2019-08,082019,
2019-09,092019,
2019-10,102019,
2019-11,112019,
2019-12,122019,
2020-01,012020,
2020-02,022020,
2020-03,032020,
2020-04,042020,
2020-05,052020,
2020-06,062020,
2020-07,072020,
2020-08,082020,116274.97
2020-09,092020,
2020-10,102020,
2020-11,112020,
2020-12,122020,
2021-01,012021,
2021-02,022021,
2021-03,032021,
2021-04,042021,
2021-05,052021,
2021-06,062021,
2021-07,072021,
2021-08,082021,
2021-09,092021,
2021-10,102021,
2021-11,112021,
2021-12,122021,
2022-01,012022,
2022-02,022022,
2022-03,032022,
2022-04,042022,34852.99
2022-05,052022,
2022-06,062022,12612.0
2022-07,072022,62619.77
2022-08,082022,
2022-09,092022,
2022-10,102022,
